Hexapod,,,,
Iteration,CPU Usage (%),Memory Usage (%),GPU Usage (%),FPS
0,259.7,0.278237118,[],32.1161
1,253.6,0.278237118,[],30.8358
2,261.7,0.278237118,[],30.8283
3,251.6,0.278237118,[],28.9206
4,258.6,0.278237118,[],29.1246
5,254.6,0.278237118,[],29.6571
6,262.6,0.278237118,[],28.4978
7,254.7,0.278237118,[],31.6274
8,256.7,0.278237118,[],32.7232
9,259.9,0.278237118,[],28.2605
10,255.8,0.278237118,[],29.1398
11,262.8,0.278237118,[],32.496
12,253.8,0.278237118,[],31.3539
13,245.8,0.278237118,[],32.635
14,248.7,0.278237118,[],32.2256
15,257.6,0.278237118,[],32.4954
16,248.7,0.278237118,[],31.2964
17,61.9,0.278237118,[],32.3406
18,58.9,0.278237118,[],30.6595
19,245.7,0.278237118,[],29.6535
20,245.7,0.278237118,[],33.0019
21,248.6,0.278237118,[],32.5859
22,247.7,0.278237118,[],32.1012
23,244.7,0.278237118,[],30.6924
24,239.7,0.278237118,[],29.6922
25,243.6,0.278237118,[],31.1414
26,250.7,0.278237118,[],26.2368
27,250.6,0.278237118,[],29.5638
28,254.8,0.278237118,[],31.2739
29,256.6,0.278237118,[],30.0957
30,257.6,0.278237118,[],28.258
31,235.7,0.278237118,[],31.7187
32,243.7,0.278237118,[],30.337
33,252.5,0.278237118,[],29.6892
34,247.7,0.278237118,[],32.0948
35,242.7,0.278237118,[],32.6942
36,249.7,0.278237118,[],30.4603
37,253.6,0.278237118,[],29.8604
38,245.7,0.278237118,[],31.0909
39,249.7,0.278237118,[],28.6932
40,190.7,0.278237118,[],33.1712
41,59.9,0.278237118,[],32.6832
42,86.9,0.278237118,[],28.7239
43,128.8,0.278237118,[],29.4599
44,58.9,0.278237118,[],28.5486
45,84.9,0.278237118,[],28.1903
46,68.9,0.278237118,[],29.0396
47,249.6,0.278237118,[],30.5023
48,254.6,0.278237118,[],31.5126
49,250.7,0.278237118,[],29.6779
50,246.7,0.278237118,[],29.223
51,252.6,0.278237118,[],28.9711
52,251.6,0.278237118,[],31.7521
53,245.7,0.278237118,[],29.0222
54,250.6,0.278237118,[],28.6007
55,252.7,0.278237118,[],29.1602
56,253.4,0.278237118,[],28.569
57,253.7,0.278237118,[],28.5407
58,248.6,0.278237118,[],29.8778
59,247.6,0.278237118,[],28.569
