Robotnik Summit XL,,,,
Iteration,CPU Usage (%),Memory Usage (%),GPU Usage (%),FPS
0,307.6,0.243941929,[],21.066
1,302.5,0.243941929,[],20.384
2,293.6,0.243941929,[],20.7599
3,302.5,0.243941929,[],19.6247
4,296.6,0.243941929,[],20.2532
5,308.6,0.243941929,[],17.9723
6,302.5,0.243941929,[],20.6058
7,300.6,0.243941929,[],21.4592
8,308.5,0.243941929,[],19.9652
9,299.6,0.243941929,[],19.8227
10,306.5,0.243941929,[],19.5104
11,293.8,0.243941929,[],18.752
12,298.6,0.243941929,[],22.1522
13,301.6,0.243941929,[],21.2149
14,302.6,0.243941929,[],20.4297
15,303.6,0.243941929,[],20.1871
16,305.5,0.243941929,[],21.5379
17,310.3,0.243941929,[],20.0955
18,306.6,0.243941929,[],19.1458
19,303.6,0.243941929,[],19.9504
20,309.6,0.243941929,[],19.5819
21,292.6,0.243941929,[],19.1718
22,314.6,0.243941929,[],18.7415
23,301.2,0.243941929,[],19.3855
24,304.6,0.243941929,[],21.8424
25,291.6,0.243941929,[],21.0226
26,302.6,0.243941929,[],20.8796
27,305.6,0.243941929,[],20.6708
28,300.6,0.243941929,[],20.7699
29,306.6,0.243941929,[],21.3705
30,302.6,0.243941929,[],21.573
31,291.6,0.243941929,[],20.9541
32,299.6,0.243941929,[],19.5153
33,300.6,0.243941929,[],18.4912
34,303.6,0.243941929,[],19.316
35,299.6,0.243941929,[],20.49
36,301.6,0.243941929,[],19.3424
37,288.6,0.243941929,[],19.8052
38,307.6,0.243941929,[],20.3332
39,294.6,0.243941929,[],20.9237
40,300.5,0.243941929,[],19.2339
41,297.5,0.243941929,[],18.8875
42,305.5,0.243941929,[],17.4464
43,305.5,0.243941929,[],19.4537
44,301.6,0.243941929,[],21.7942
45,299.6,0.243941929,[],21.0202
46,306.5,0.243941929,[],19.7158
47,304.5,0.243941929,[],20.7795
48,303.6,0.243941929,[],20.2982
49,306.6,0.243941929,[],21.9068
50,293.6,0.243941929,[],20.3346
51,293.8,0.243941929,[],19.7762
52,298.6,0.243941929,[],19.8997
53,307.6,0.243941929,[],19.3236
54,304.5,0.243941929,[],18.3301
55,301.6,0.243941929,[],21.2429
56,299.9,0.243941929,[],19.6609
57,303.6,0.243941929,[],19.7608
58,318.6,0.243941929,[],20.4574
59,290.6,0.243941929,[],20.6574
