,Iterations,CPU Usage(%),Memory(%),FPS
,,,,
CoppaliaSim,1,289.6,0.25660892,19.3
,2,282.6,0.25660892,21.4503
,3,288.6,0.25660892,20.4155
,4,286.6,0.25660892,20.5542
,5,296.6,0.25660892,19.6757
,6,292.6,0.25660892,19.4866
,7,291.6,0.25660892,19.9598
,8,278.6,0.25660892,19.5923
,9,287.6,0.25660892,19.1743
,10,291.5,0.25660892,19.1751
,11,289.6,0.25660892,19.9133
,,,,
Gazebo,1,33.7,3.2,0.274676978
,2,35.2,3.2,0.280567694
,3,34.7,3.2,0.284761956
,4,36.5,3.2,0.288495578
,5,34.9,3.2,0.290681138
,6,33.9,3.2,0.292767204
,7,36.2,3.2,0.294737132
,8,36.4,3.2,0.29619695
,9,35,3.2,0.297368904
,10,35.6,3.2,0.298582516
,11,34.8,3.2,0.299416221
,,,,
IssacSim,1,7.3,48.6,0.325350516
,2,4.3,48.6,0.32494367
,3,5.2,48.6,0.326975954
,4,6.5,48.6,0.325390093
,5,5.1,48.6,0.325613347
,6,5,48.6,0.325084908
,7,7.4,48.6,0.325246546
,8,4.7,48.6,0.327244688
,9,4.5,48.7,0.325121925
,10,4.4,48.7,0.326552577
,11,5.7,48.7,0.326730694
,,,,
WeBots,1,12.5,75.9,14.94512323
,2,3,75.9,14.97371757
,3,3.1,75.8,15.0684094
,4,9.1,75.8,15.08384021
,5,0,75.8,15.12885648
,6,3.1,75.9,15.06014683
,7,25.8,75.9,15.30379424
,8,2.4,75.9,15.14348232
,9,0,75.9,14.99849779
,10,2.5,75.9,14.86867083
,11,9.4,75.9,14.88930212
